State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Alaska,2019-07-13,696,2019-07-06,5262,306179,1.72
Alaska,2019-07-20,649,2019-07-13,5065,306179,1.65
Alaska,2019-07-27,619,2019-07-20,5028,306179,1.64
Alaska,2019-08-03,682,2019-07-27,4875,306179,1.59
Alaska,2019-08-10,693,2019-08-03,5019,306179,1.64
Alaska,2019-08-17,698,2019-08-10,4886,306179,1.60
Alaska,2019-08-24,701,2019-08-17,4856,306179,1.59
Alaska,2019-08-31,682,2019-08-24,4616,306179,1.51
Alaska,2019-09-07,687,2019-08-31,4541,306179,1.48
Alaska,2019-09-14,716,2019-09-07,4510,306179,1.47
Alaska,2019-09-21,808,2019-09-14,4720,306179,1.54
Alaska,2019-09-28,866,2019-09-21,4730,306179,1.54
Alaska,2019-10-05,856,2019-09-28,5203,306179,1.70
Alaska,2019-10-12,1184,2019-10-05,5094,306493,1.66
Alaska,2019-10-19,1005,2019-10-12,5629,306493,1.84
Alaska,2019-10-26,1109,2019-10-19,6260,306493,2.04
Alaska,2019-11-02,1166,2019-10-26,6357,306493,2.07
Alaska,2019-11-09,1319,2019-11-02,7103,306493,2.32
Alaska,2019-11-16,1194,2019-11-09,7545,306493,2.46
Alaska,2019-11-23,1243,2019-11-16,8527,306493,2.78
Alaska,2019-11-30,941,2019-11-23,8196,306493,2.67
Alaska,2019-12-07,1146,2019-11-30,9537,306493,3.11
Alaska,2019-12-14,949,2019-12-07,8645,306493,2.82
Alaska,2019-12-21,1027,2019-12-14,9772,306493,3.19
Alaska,2019-12-28,860,2019-12-21,8659,306493,2.83
Alaska,2020-01-04,981,2019-12-28,10177,306493,3.32
Alaska,2020-01-11,1371,2020-01-04,9310,307329,3.03
Alaska,2020-01-18,1181,2020-01-11,9984,307329,3.25
Alaska,2020-01-25,1003,2020-01-18,9496,307329,3.09
Alaska,2020-02-01,1122,2020-01-25,9579,307329,3.12
Alaska,2020-02-08,980,2020-02-01,9161,307329,2.98
Alaska,2020-02-15,915,2020-02-08,9343,307329,3.04
Alaska,2020-02-22,773,2020-02-15,8864,307329,2.88
Alaska,2020-02-29,874,2020-02-22,8938,307329,2.91
Alaska,2020-03-07,815,2020-02-29,8266,307329,2.69
Alaska,2020-03-14,1120,2020-03-07,8522,307329,2.77
Alaska,2020-03-21,7847,2020-03-14,8512,307329,2.77
Alaska,2020-03-28,13774,2020-03-21,11173,307329,3.64
Alaska,2020-04-04,14590,2020-03-28,19845,307329,6.46
Alaska,2020-04-11,12007,2020-04-04,35365,308137,11.48
Alaska,2020-04-18,12201,2020-04-11,48096,308137,15.61
Alaska,2020-04-25,10313,2020-04-18,52022,308137,16.88
Alaska,2020-05-02,8718,2020-04-25,49893,308137,16.19
Alaska,2020-05-09,7807,2020-05-02,50791,308137,16.48
Alaska,2020-05-16,7741,2020-05-09,50049,308137,16.24
Alaska,2020-05-23,8152,2020-05-16,48000,308137,15.58
Alaska,2020-05-30,7452,2020-05-23,47344,308137,15.36
Alaska,2020-06-06,7081,2020-05-30,47123,308137,15.29
Alaska,2020-06-13,6797,2020-06-06,45792,308137,14.86
Alaska,2020-06-20,6757,2020-06-13,44380,308137,14.40
Alaska,2020-06-27,6467,2020-06-20,43208,308137,14.02
Alaska,2020-07-04,6124,2020-06-27,42110,308137,13.67
Alaska,2020-07-11,9572,2020-07-04,43225,308691,14.00
Alaska,2020-07-18,6606,2020-07-11,41685,308691,13.50
Alaska,2020-07-25,6069,2020-07-18,40596,308691,13.15
Alaska,2020-08-01,5195,2020-07-25,39002,308691,12.63
Alaska,2020-08-08,4619,2020-08-01,34442,308691,11.16
Alaska,2020-08-15,4731,2020-08-08,32899,308691,10.66
Alaska,2020-08-22,4344,2020-08-15,31673,308691,10.26
Alaska,2020-08-29,4057,2020-08-22,29524,308691,9.56
Alaska,2020-09-05,3817,2020-08-29,27536,308691,8.92
Alaska,2020-09-12,3593,2020-09-05,25762,308691,8.35
Alaska,2020-09-19,3631,2020-09-12,24089,308691,7.80
Alaska,2020-09-26,3600,2020-09-19,22532,308691,7.30
Alaska,2020-10-03,3719,2020-09-26,21131,308691,6.85
Alaska,2020-10-10,5708,2020-10-03,20264,308959,6.56
Alaska,2020-10-17,4608,2020-10-10,19754,308959,6.39
Alaska,2020-10-24,4388,2020-10-17,18974,308959,6.14
Alaska,2020-10-31,4451,2020-10-24,18867,308959,6.11
Arkansas,2019-01-05,3478,2018-12-29,14206,1183443,1.20
Arkansas,2019-01-12,2552,2019-01-05,14322,1185652,1.21
Arkansas,2019-01-19,1804,2019-01-12,13132,1185652,1.11
Arkansas,2019-01-26,1720,2019-01-19,12740,1185652,1.07
Arkansas,2019-02-02,1843,2019-01-26,13129,1185652,1.11
Arkansas,2019-02-09,1804,2019-02-02,12835,1185652,1.08
Arkansas,2019-02-16,1789,2019-02-09,12390,1185652,1.04
Arkansas,2019-02-23,1450,2019-02-16,12466,1185652,1.05
Arkansas,2019-03-02,1826,2019-02-23,12119,1185652,1.02
Arkansas,2019-03-09,1396,2019-03-02,11632,1185652,0.98
Arkansas,2019-03-16,1442,2019-03-09,10973,1185652,0.93
Arkansas,2019-03-23,2263,2019-03-16,10415,1185652,0.88
Arkansas,2019-03-30,1219,2019-03-23,11003,1185652,0.93
Arkansas,2019-04-06,2250,2019-03-30,9788,1185652,0.83
Arkansas,2019-04-13,1451,2019-04-06,10259,1188140,0.86
Arkansas,2019-04-20,1413,2019-04-13,9669,1188140,0.81
Arkansas,2019-04-27,1337,2019-04-20,9842,1188140,0.83
Arkansas,2019-05-04,1477,2019-04-27,9624,1188140,0.81
Arkansas,2019-05-11,1682,2019-05-04,9348,1188140,0.79
Arkansas,2019-05-18,1697,2019-05-11,9623,1188140,0.81
Arkansas,2019-05-25,1991,2019-05-18,9815,1188140,0.83
Arkansas,2019-06-01,2602,2019-05-25,10139,1188140,0.85
Arkansas,2019-06-08,3049,2019-06-01,11510,1188140,0.97
Arkansas,2019-06-15,1736,2019-06-08,12900,1188140,1.09
Arkansas,2019-06-22,1492,2019-06-15,12639,1188140,1.06
Arkansas,2019-06-29,1564,2019-06-22,12603,1188140,1.06
Arkansas,2019-07-06,2938,2019-06-29,12156,1188140,1.02
Arkansas,2019-07-13,1757,2019-07-06,13856,1190937,1.16
Arkansas,2019-07-20,1516,2019-07-13,13812,1190937,1.16
Arkansas,2019-07-27,1437,2019-07-20,13004,1190937,1.09
Arkansas,2019-08-03,1343,2019-07-27,13188,1190937,1.11
Arkansas,2019-08-10,1586,2019-08-03,12339,1190937,1.04
Arkansas,2019-08-17,1422,2019-08-10,11950,1190937,1.00
Arkansas,2019-08-24,1601,2019-08-17,10912,1190937,0.92
Arkansas,2019-08-31,1454,2019-08-24,10774,1190937,0.90
Arkansas,2019-09-07,2122,2019-08-31,10222,1190937,0.86
Arkansas,2019-09-14,1349,2019-09-07,10809,1190937,0.91
Arkansas,2019-09-21,1296,2019-09-14,10201,1190937,0.86
Arkansas,2019-09-28,1346,2019-09-21,9781,1190937,0.82
Arkansas,2019-10-05,1884,2019-09-28,9598,1190937,0.81
Arkansas,2019-10-12,1499,2019-10-05,9712,1193713,0.81
Arkansas,2019-10-19,1404,2019-10-12,9830,1193713,0.82
